name,BNN
3ol,0.89373565
1xd,0.91639805
1u3,0.90659255
5ke,0.8867897
3ol,0.8947649
5va,0.88633496
1pi,0.8983985
3ol,0.9042745
3ol,0.8873323
1jf,0.8822932
1UA,0.9013305
3CP,0.89382946
1XH,0.88679475
1XD,0.8757301
3BA,0.8883902
1XH,0.90094566
1XD,0.9073374
1BA,0.9074766
1WO,0.91434354
1JF,0.86667633
1U3,0.88275987
1U3,0.88980603
3L2,0.8951422
2QV,0.9036535
6Z8,0.8949903
1XC,0.9003088
3BA,0.8995712
5TD,0.8841642
1XC,0.88714653
6M4,0.89973557
1G9,0.8935636
1e5,0.88580215
1h5,0.90278655
1oc,0.88338304
8a3,0.8905647
1w3,0.8689199
1w3,0.8849447
1qi,0.8901977
5a3,0.88915014
4A3,0.88729894
1G0,0.88163245
8A3,0.8651685
5A8,0.8552939
5A9,0.87146306
5A8,0.8896376
4HU,0.88813114
3A3,0.9057516
5A8,0.91190016
1QI,0.8723403
1HF,0.8787005
1W3,0.8769033
2CK,0.8868916
2A3,0.89000666
1TV,0.8926468
2V3,0.861105
b14,0.8777379
b15,0.87920123
b1d,0.89625
b20,0.88000625
b22,0.88726485
b26,0.8780004
5xg,0.8991952
5f8,0.9018122
5f9,0.9036758
5F8,0.8975417
5DU,0.9125824
5F8,0.8881508
5VB,0.8803895
3WM,0.88934386
3WM,0.88744575
5F8,0.8955201
5XG,0.8984638
6BF,0.89619637
b2c,0.896526
1gw,0.8692956
1OH,0.8965275
1W8,0.86619353
1W8,0.89340997
1GW,0.87169826
1GW,0.89004564
n01,0.42375198
n08,0.8636943
n45,0.8899783
n46,0.88093936
n48,0.8924078
b19,0.8340133
n57,0.0025373267
n71,0.45624802
n78,0.46729934
n7f,0.52723354
n80,0.014953779
n8f,0.0011467081
n96,0.88353693
na1,0.46560568
1of,0.89687526
4cs,0.8908046
4c1,0.8886558
4d5,0.9083211
1IU,0.8953201
7C3,0.8976602
7C3,0.9080006
7C3,0.8900491
4CS,0.8814537
5EO,0.87221456
4UO,0.8859657
5EO,0.8862779
4C1,0.8915806
4AH,0.90570664
4D5,0.89963305
4AH,0.8981625
1IU,0.892189
b0d,0.8863587
b0d,0.9064912
b43,0.90708935
b58,0.9090804
b76,0.888914
1wd,0.89462495
2xg,0.88993174
1IT,0.8966337
1B1,0.89868015
1Q6,0.8703623
1VE,0.8821479
1VE,0.9019668
1VE,0.8765069
1FA,0.8898326
1B9,0.89208305
1J1,0.88509834
1Q6,0.88121945
1V3,0.90033937
1VE,0.87921536
1V3,0.8953928
5WQ,0.90077734
2XF,0.87657356
1J1,0.86029375
1Q6,0.8960868
b19,0.8898815
b1a,0.8874879
b3b,0.9012281
b97,0.8951733
ba8,0.8892702
bad,0.89806247
bae,0.87720835
3th,0.9040108
1TY,0.8827869
1TY,0.89228904
1TY,0.89597875
1TS,0.90119755
1QA,0.9034043
1QA,0.86342895
1QA,0.89679086
1TY,0.8970494
1CL,0.9006704
b3d,0.8923688
2ZQ,0.88782704
2ZQ,0.88215446
2DR,0.894344
2DR,0.88794565
b2f,0.867707
1G8,0.8961369
1ax,0.904669
3n3,0.88623524
5t5,0.8776892
5kx,0.8607607
5t5,0.9015908
1ax,0.8796083
1ri,0.882102
4xt,0.882584
4xt,0.88386863
1gz,0.8978657
1ax,0.8885299
1ax,0.8835366
3zy,0.89633715
1gz,0.895238
2AR,0.880213
1HK,0.8869153
6VC,0.9070513
1G7,0.887099
1N3,0.8946831
1GZ,0.87957036
2LT,0.9027535
1LG,0.8676567
2PH,0.89518774
1S1,0.8790767
2DV,0.89001584
3N3,0.8782846
2TE,0.898105
4XX,0.89586365
2LA,0.8993323
1G9,0.8734701
1AX,0.8826363
4U3,0.8919709
2FM,0.88828474
2AR,0.88055325
2DT,0.8786187
1HQ,0.9151793
1LE,0.8815498
4XT,0.89246976
2SB,0.88235414
6VC,0.900283
2AR,0.89162266
6V9,0.8945725
2DU,0.8986362
3UJ,0.8919835
1UK,0.9068799
1LE,0.8971094
2PH,0.8905806
2DU,0.90616626
1QF,0.90273285
2GM,0.89743805
4M3,0.89454675
1WB,0.8949512
2E7,0.89094967
1LU,0.9014621
1RI,0.9097142
1Q8,0.8845024
5AV,0.89349675
5T5,0.91304713
5KX,0.8891779
1LU,0.89703465
2GM,0.89491975
5KX,0.90791404
1GS,0.8801707
1QO,0.88660455
5T7,0.89314556
1UZ,0.89334667
5U3,0.8956089
1V0,0.8803456
5T5,0.8919077
1FA,0.9000007
1DZ,0.9024974
5KX,0.88787585
5EY,0.9056766
1UZ,0.8904144
2E7,0.87579554
1BZ,0.88977337
5EY,0.8988408
5KX,0.9010915
2GN,0.8999145
1CI,0.9178399
1QN,0.8932835
1QO,0.90132564
1Q8,0.8889358
1FN,0.8784713
3WO,0.9056599
3WC,0.9081861
3IP,0.89916724
1LO,0.88396335
1LU,0.88734293
1N4,0.9078395
1LO,0.8983099
2GN,0.8913078
2GM,0.8998989
2BQ,0.88645816
3WC,0.8879812
1FA,0.91355
1Q8,0.88196373
1FN,0.89977074
1JX,0.88417315
5T5,0.89345443
1RI,0.8735378
2GN,0.9097527
1LO,0.891345
1WB,0.89989334
2GN,0.892786
1DB,0.89788425
4WV,0.90948033
5T5,0.89681625
2AU,0.8886973
1Q8,0.8897026
1CR,0.88677144
5T5,0.8988341
2ZM,0.90801835
2D3,0.9051446
6VG,0.8874907
1FY,0.90144444
1LO,0.90476054
1SB,0.89726716
5T5,0.8898923
1QO,0.8839948
1F9,0.9012238
1SB,0.9029609
2GN,0.89230704
1RI,0.8920494
1LO,0.865927
2E5,0.881889
1LO,0.8757673
2GN,0.8945066
1SB,0.878557
2ZM,0.88787866
1CQ,0.8922445
1V6,0.8729686
2DV,0.90825784
2B7,0.88965005
3ZY,0.8926215
1LE,0.9133774
1AX,0.8922955
3UK,0.8965848
2DT,0.89426184
2DV,0.8958087
1V6,0.8999849
6VA,0.8982595
2DV,0.9057594
1AX,0.9111439
1GN,0.91386986
2EI,0.8857174
1AX,0.89618707
6VA,0.90051496
1V6,0.9047871
1V6,0.89446187
1LE,0.8787868
1V6,0.89078295
1V6,0.8947039
2DV,0.89277136
2PE,0.8831948
3ZV,0.88227403
1GZ,0.8929485
1BJ,0.8851763
1SF,0.9053052
1V6,0.89170235
2AR,0.8974899
6AQ,0.8838664
1Q8,0.91871035
6AQ,0.911422
2E5,0.89004755
b00,0.8855242
b1b,0.9056189
b21,0.92055976
b2c,0.89356184
b2d,0.9133204
b2f,0.9001485
b32,0.8897604
b35,0.8852079
b43,0.89149857
b50,0.9014646
b52,0.90104353
b59,0.91379994
b59,0.88087857
b79,0.892261
b80,0.89698446
b99,0.8974743
4I4,0.87899995
2y9,0.8970058
4I4,0.87611234
4I4,0.896327
4I4,0.876196
4I4,0.87292784
4I4,0.926334
2Y9,0.89186263
4I4,0.88934
4I4,0.9002683
5YN,0.88811827
4j3,0.87818027
2y4,0.879841
2FH,0.86688185
2FH,0.89969766
2FH,0.86747164
2FH,0.892001
2FH,0.89028305
6J4,0.880319
4J3,0.8947042
6J3,0.9050667
4J3,0.8927506
4J3,0.8998908
4J3,0.8766106
4J3,0.9024987
b9e,0.8688463
ba2,0.8845765
ba9,0.8672049
bac,0.8998635
6KZ,0.8785925
3al,0.912953
6gh,0.87574863
7L6,0.9066337
4N3,0.8772371
1K9,0.8823689
6JJ,0.8976965
3P7,0.87457657
4N3,0.8798567
7L6,0.88845026
4KZ,0.88655627
7L6,0.90568817
4N3,0.88983154
2XR,0.90400594
6A7,0.89799917
1K9,0.8798511
6PW,0.8880463
4N3,0.88356847
7L6,0.8981638
4N3,0.8915086
