name,BNN
3ol,0.88301307
1xd,0.9022428
1u3,0.889736
5ke,0.90539587
3ol,0.88952035
5va,0.88071585
1pi,0.9009861
3ol,0.8856961
3ol,0.8922869
1jf,0.89802825
1UA,0.8946891
3CP,0.88941824
1XH,0.8962129
1XD,0.90370214
3BA,0.895662
1XH,0.89042044
1XD,0.8893995
1BA,0.8846755
1WO,0.8985035
1JF,0.8887749
1U3,0.89378643
1U3,0.89481324
3L2,0.88383657
2QV,0.89516944
6Z8,0.89526427
1XC,0.9101249
3BA,0.89192945
5TD,0.8819574
1XC,0.9045022
6M4,0.87978333
1G9,0.8871605
1e5,0.8943507
1h5,0.90138227
1oc,0.8886221
8a3,0.89467746
1w3,0.8913625
1w3,0.8807561
1qi,0.87079984
5a3,0.88810843
4A3,0.8800478
1G0,0.89251393
8A3,0.8857852
5A8,0.892424
5A9,0.87317276
5A8,0.8901123
4HU,0.884659
3A3,0.8838515
5A8,0.88546336
1QI,0.87409
1HF,0.879893
1W3,0.87903804
2CK,0.8911563
2A3,0.8873162
1TV,0.88919723
2V3,0.8911578
b14,0.87462556
b15,0.8859309
b1d,0.884379
b20,0.88244975
b22,0.8827772
b26,0.88995963
5xg,0.89506894
5f8,0.9124789
5f9,0.90135556
5F8,0.71839494
5DU,0.88822335
5F8,0.8910674
5VB,0.8954983
3WM,0.9008018
3WM,0.88915634
5F8,0.89265525
5XG,0.8925146
6BF,0.8875227
b2c,0.86634225
1gw,0.722893
1OH,0.8891654
1W8,0.88105154
1W8,0.8965057
1GW,0.87535256
1GW,0.864452
n01,0.36094183
n08,0.35312393
n45,0.8894822
n46,0.90345114
n48,0.8869602
b19,0.88403857
n57,0.0031859693
n71,0.17399475
n78,0.2044485
n7f,0.53999966
n80,0.6797906
n8f,0.0006190057
n96,0.88592017
na1,0.83923817
1of,0.89019156
4cs,0.90763205
4c1,0.89689815
4d5,0.8772384
1IU,0.89926785
7C3,0.8937724
7C3,0.89713687
7C3,0.8856474
4CS,0.8926009
5EO,0.8907013
4UO,0.8995758
5EO,0.8948814
4C1,0.90712184
4AH,0.8943094
4D5,0.8856001
4AH,0.90005654
1IU,0.8931855
b0d,0.885887
b0d,0.8928145
b43,0.8897476
b58,0.9072
b76,0.8962886
1wd,0.89624375
2xg,0.87950915
1IT,0.882792
1B1,0.8986658
1Q6,0.89490473
1VE,0.89079934
1VE,0.8857438
1VE,0.88138425
1FA,0.893696
1B9,0.89317024
1J1,0.8904258
1Q6,0.8750433
1V3,0.89157915
1VE,0.89037097
1V3,0.8858021
5WQ,0.88965636
2XF,0.89317435
1J1,0.8780273
1Q6,0.89330083
b19,0.9016231
b1a,0.8767103
b3b,0.88792646
b97,0.8935979
ba8,0.8993413
bad,0.8865504
bae,0.884076
3th,0.8980937
1TY,0.89718133
1TY,0.89087266
1TY,0.9014619
1TS,0.8912093
1QA,0.8851644
1QA,0.8937279
1QA,0.887463
1TY,0.8936173
1CL,0.89004344
b3d,0.8821343
2ZQ,0.8798224
2ZQ,0.8900752
2DR,0.89017355
2DR,0.89724445
b2f,0.8897439
1G8,0.8881442
1ax,0.8982336
3n3,0.8990327
5t5,0.90330637
5kx,0.89305794
5t5,0.8890478
1ax,0.8961011
1ri,0.893154
4xt,0.8903142
4xt,0.8919708
1gz,0.8933573
1ax,0.8921769
1ax,0.8900423
3zy,0.90058744
1gz,0.8979532
2AR,0.8927754
1HK,0.89150584
6VC,0.8936081
1G7,0.88748395
1N3,0.8869935
1GZ,0.88665944
2LT,0.8928459
1LG,0.8904473
2PH,0.88838655
1S1,0.88262874
2DV,0.88325775
