loading Picap predictions



loading PiCAP
Using: cuda
cuda
PiCAP loaded
Running Predictions...

	------PiCAP results-------
3ol , 0.8866738
1xd , 0.9223753
1u3 , 0.9037744
5ke , 0.87961215
3ol , 0.88638663
5va , 0.874664
1pi , 0.8909009
3ol , 0.90662074
3ol , 0.9027075
1jf , 0.90914756
1UA , 0.8838312
3CP , 0.9046292
1XH , 0.8892352
1XD , 0.8710406
3BA , 0.8783649
1XH , 0.8922668
1XD , 0.9051246
1BA , 0.9101367
1WO , 0.9068533
1JF , 0.86447656
1U3 , 0.8800345
1U3 , 0.89634
3L2 , 0.88865376
2QV , 0.9015585
6Z8 , 0.90035343
1XC , 0.9006858
3BA , 0.9026734
5TD , 0.87213945
1XC , 0.8753813
6M4 , 0.89838874
1G9 , 0.90382737
1e5 , 0.88335115
1h5 , 0.9035559
1oc , 0.89426124
8a3 , 0.87435234
1w3 , 0.8704219
1w3 , 0.9059004
1qi , 0.89540875
5a3 , 0.89477664
4A3 , 0.87767076
1G0 , 0.8858831
8A3 , 0.8684314
5A8 , 0.87434375
5A9 , 0.83609974
5A8 , 0.8796197
4HU , 0.91010886
3A3 , 0.91088295
5A8 , 0.8970718
1QI , 0.8649908
1HF , 0.8901027
1W3 , 0.89073926
2CK , 0.89191216
2A3 , 0.89905214
1TV , 0.89015985
2V3 , 0.8623448
b14 , 0.8598168
b15 , 0.87571406
b1d , 0.8869746
b20 , 0.8685399
b22 , 0.90160716
b26 , 0.88314307
5xg , 0.9295716
5f8 , 0.8977594
5f9 , 0.89335513
5F8 , 0.8938884
5DU , 0.9065999
5F8 , 0.8820401
5VB , 0.8635554
3WM , 0.8934966
3WM , 0.89647317
5F8 , 0.8738998
5XG , 0.887952
6BF , 0.8826014
b2c , 0.9010583
1gw , 0.88572955
1OH , 0.9158875
1W8 , 0.89159507
1W8 , 0.8857879
1GW , 0.8869241
1GW , 0.8945157
n01 , 0.84134156
n08 , 0.90077204
n45 , 0.88940245
n46 , 0.86102587
n48 , 0.9036626
b19 , 0.79622847
n57 , 0.0024634828
n71 , 0.01741131
n78 , 0.85036504
n7f , 0.87820005
n80 , 0.02882768
n8f , 0.00062965363
n96 , 0.8889735
na1 , 0.87160003
1of , 0.8914415
4cs , 0.88580334
4c1 , 0.86522055
4d5 , 0.9014586
1IU , 0.89515847
7C3 , 0.8960485
7C3 , 0.9144356
7C3 , 0.8728018
4CS , 0.8957867
5EO , 0.8491975
4UO , 0.8746954
5EO , 0.88501596
4C1 , 0.8907828
4AH , 0.9287587
4D5 , 0.9024427
4AH , 0.88680965
1IU , 0.88065565
b0d , 0.88519335
b0d , 0.8906349
b43 , 0.9025929
b58 , 0.91649085
b76 , 0.8850549
1wd , 0.88661194
2xg , 0.8915562
1IT , 0.90601176
1B1 , 0.89303535
1Q6 , 0.8722163
1VE , 0.893754
1VE , 0.90818197
1VE , 0.883019
1FA , 0.89595175
1B9 , 0.8770174
1J1 , 0.88520706
1Q6 , 0.8769053
1V3 , 0.8920637
1VE , 0.89027876
1V3 , 0.881489
5WQ , 0.8974797
2XF , 0.860858
1J1 , 0.86623484
1Q6 , 0.9139518
b19 , 0.8803397
b1a , 0.8838052
b3b , 0.8974549
b97 , 0.90618354
ba8 , 0.89331156
bad , 0.88692373
bae , 0.89240843
3th , 0.92010427
1TY , 0.85912025
